Nome,Endereço,Latitude,Longitude,Categoria
Vertical Jeans,Av. Central BL 227/359 Lado Ímpar  bl 341 lj 1,-15.8677197,-47.9635696,Compras
Aleatto,"SCN Q 5 BL A, 281",-15.7833204,-47.8875008,Compras
Dudalina Double,CC Iguatemi,-15.7194333,-47.8850728,Compras
Lacoste,CC Iguatemi,-15.7193899,-47.8852534,Compras
Kadoshi,"Feira Do Sia Conjunto C, 85-87",-15.7941454,-47.8825479,Compras
Conexão Original,Via N2,-15.7914784218714,-47.8833374895972,Compras
Casa das Malhas,CLN 114 BL D  lj 36,-15.7465601,-47.8921814,Compras
Shopping do Bebê,"Cng 02 Lote 23 Loja , 01",-15.8064225,-48.0789562,Compras
Tok&Stok,CC Casa Park,-15.8266465009467,-47.9530339843781,Compras
Pão de Açúcar,QE 2 BL N  ae K,-15.8164101,-47.9816017,Compras
Hudson News,Estrada Parque Aeroporto,-15.8703718651956,-47.9212917743216,Compras
Prima Linea,CLN 103 BL C  lj 63,-15.7773199,-47.8834496,Compras
Agittus Calçados,"SDN Conjunto Nacional Bloco A,19",-15.7910898728515,-47.8827835991979,Compras
M Zaniratto Noivos & Black Tie,SHIS QI 13 BL A  lj 15,-15.8517799,-47.8771706,Compras
Le Postiche,SCN Q 2 BL D  lj 110,-15.7835998535156,-47.880500793457,Compras
Sbs Special Book Services Livraria,"CLN 406 Bloco B, 2-4",-15.7627365,-47.8886328,Compras
Casa Nordestina,Q 27 BL 19  lt 1 cj 19,-15.76544,-47.7801514,Compras
Dom Quixote Companhia e Distribuição Livros,CLN 404 BL C  lj 38,-15.7732897,-47.8764801,Compras
Lojas Americanas,SDN CNB - Conjunto A - Conjunto Nacional,-15.7907495,-47.8844299,Compras
Funhouse Skatewear,"SDS Bloco E, 11-15",-15.79211,-47.897751,Compras
Undergallery,"SGCV Sul, lote 22 - Loja 1 (subsolo)",-15.8245065,-47.9547651,Compras
Formatto Teen,"Clsw 303 Bloco C, 32",-15.8010845,-47.9266087,Compras
Fulanitas de Tal,"CLN 405 Bloco D, 67",-15.7730093,-47.8761591,Compras
Pão de Açúcar,"Shin Qi 02, s/n",-15.723423,-47.886983,Compras
O Boticário,QS 1 R 210 Lt 40,-15.8401975,-48.0432898,Compras
Sacolão Dona de Casa Mercearia e Açougue,QE 30 BL A  lj 27,-15.8405199,-47.9811707,Compras
Original Outlet,"CLN 308 Bloco D, 69",-15.7629283,-47.8892894,Compras
Varejão da Fartura,"Av. Central Bloco, 790",-15.8702084701744,-47.9686417960785,Compras
Morena.com,"Av. Castanheiras, rua 13",-15.8378096,-48.0236702,Compras
Sebo do Ed,"SCS quadra, 2",-15.7981922803703,-47.887236401358,Compras
Datelli,SCN Q 5 BL A  lj 68C,-15.7835998535156,-47.880500793457,Compras
Cotta,CC Boulevard,-15.7339358509388,-47.8990286609436,Compras
My Shoes,SAI SO lt 6580,-15.8332012940128,-47.9557579480713,Compras
TNG,QS 1 R 210  qd 501 lt 40 lj 2043,-15.8359299,-48.0452194,Compras
Dona de Casa Supermercados,"Samdu Norte, QI 8",-15.809765,-48.069024,Compras
Supermercado Dona de Casa,"Sul Aguas Claras, 7",-15.8365547,-48.0135253,Compras
Supermaia Supermercado Lago Norte,SHIN QI 5  lt 6,-15.7309198,-47.8638992,Compras
